Type_,Actual_mean,Actual_min,Actual_max,Predicted_mean,Predicted_min,Predicted_max,Iteration,Generated_At
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:07:24.551930
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:07:24.551930
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,2,2025-01-16T10:08:04.250278
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,2,2025-01-16T10:08:04.250278
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,3,2025-01-16T10:08:37.236908
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,3,2025-01-16T10:08:37.236908
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:19:46.114657
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,1,2025-01-16T10:19:46.114657
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,2,2025-01-16T10:20:24.904999
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,2,2025-01-16T10:20:24.904999
Future,,,,27719.65670454674,23591.38122913948,32521.10134969429,3,2025-01-16T10:20:59.473942
Historical,28376.86904761905,23808.0,32828.0,27719.65670454674,23591.38122913948,32521.10134969429,3,2025-01-16T10:20:59.473942
Future,,,,27081.10671846392,23047.81511738218,31771.3590939224,1,2025-01-16T06:48:46.111122
Historical,28445.37797619048,23808.0,33794.0,27081.10671846392,23047.81511738218,31771.3590939224,1,2025-01-16T06:48:46.111122
Future,,,,27081.10671846392,23047.81511738218,31771.3590939224,2,2025-01-16T06:49:18.898621
Historical,28445.37797619048,23808.0,33794.0,27081.10671846392,23047.81511738218,31771.3590939224,2,2025-01-16T06:49:18.898621
Future,,,,27081.10671846392,23047.81511738218,31771.3590939224,3,2025-01-16T06:49:48.446844
Historical,28445.37797619048,23808.0,33794.0,27081.10671846392,23047.81511738218,31771.3590939224,3,2025-01-16T06:49:48.446844
Historical,28445.377976190477,23808.0,33794.0,27081.10671846392,23047.81511738218,31771.3590939224,3,2025-01-16T06:49:48.446844
